prolific_id,condition,jatos_id,itemnum,items,times,firsttime,category,starttime,shortlist,rt,listnum,gender,ageText,age,perseveration
5484655ffdf99b07b28f22cc,Immediate,395,1,frog,1684169446042,1684169442743,Animals,1684169439669,0,6.373,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,2,cow,1684169448241,1684169447191,Animals,1684169439669,0,2.199,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,3,horse,1684169450791,1684169448891,Animals,1684169439669,0,2.55,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,4,giraffe,1684169454392,1684169453061,Animals,1684169439669,0,3.601,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,5,elephant,1684169457393,1684169455532,Animals,1684169439669,0,3.001,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,6,lion,1684169458972,1684169457921,Animals,1684169439669,0,1.579,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,7,tiger,1684169460972,1684169459752,Animals,1684169439669,0,2,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,8,leopard,1684169466032,1684169461461,Animals,1684169439669,0,5.06,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,9,dog,1684169469292,1684169468053,Animals,1684169439669,0,3.26,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,10,cat,1684169471752,1684169470912,Animals,1684169439669,0,2.46,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,11,robin,1684169473932,1684169472772,Animals,1684169439669,0,2.18,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,12,sparrow,1684169476672,1684169474601,Animals,1684169439669,0,2.74,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,13,mouse,1684169483312,1684169480473,Animals,1684169439669,0,6.64,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,14,rat,1684169487072,1684169484442,Animals,1684169439669,0,3.76,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,15,snake,1684169490172,1684169488602,Animals,1684169439669,0,3.1,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,16,rattlesnake,1684169494922,1684169491901,Animals,1684169439669,0,4.75,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,17,vulture,1684169512382,1684169498112,Animals,1684169439669,0,17.46,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,18,egret,1684169515432,1684169513092,Animals,1684169439669,0,3.05,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,19,heron,1684169519112,1684169515932,Animals,1684169439669,0,3.68,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,20,duck,1684169521952,1684169520802,Animals,1684169439669,0,2.84,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,21,goose,1684169523842,1684169522612,Animals,1684169439669,0,1.89,1,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,1,elephant,1684169623652,1684169624342,Animals,1684169617076,0,6.576,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,2,grouse,1684169625712,1684169626842,Animals,1684169617076,0,2.06,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,3,duck,1684169627682,1684169629402,Animals,1684169617076,0,1.97,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,4,platypus,1684169631972,1684169632962,Animals,1684169617076,0,4.29,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,5,snake,1684169635952,1684169637283,Animals,1684169617076,0,3.98,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,6,frog,1684169638952,1684169641102,Animals,1684169617076,0,3,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,7,whale,1684169642542,1684169645242,Animals,1684169617076,0,3.59,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,8,dolphin,1684169648173,1684169650312,Animals,1684169617076,0,5.631,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,9,cow,1684169652442,1684169653032,Animals,1684169617076,0,4.269,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,10,chicken,1684169654382,1684169655532,Animals,1684169617076,0,1.94,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,11,goose,1684169657482,1684169658383,Animals,1684169617076,0,3.1,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,12,duck,1684169659312,1684169662282,Animals,1684169617076,0,1.83,2,M,75,old,1
5484655ffdf99b07b28f22cc,Immediate,395,13,guineafowl,1684169665952,1684169668263,Animals,1684169617076,0,6.64,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,14,mule,1684169669112,1684169670102,Animals,1684169617076,0,3.16,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,15,donkey,1684169671872,1684169674882,Animals,1684169617076,0,2.76,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,16,deer,1684169676162,1684169677043,Animals,1684169617076,0,4.29,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,17,raccoon,1684169678603,1684169678923,Animals,1684169617076,0,2.441,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,18,squirrel,1684169680673,1684169683633,Animals,1684169617076,0,2.07,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,19,chipmunk,1684169685933,1684169688473,Animals,1684169617076,0,5.26,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,20,cat,1684169689123,1684169693433,Animals,1684169617076,0,3.19,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,21,iguana,1684169695843,1684169699664,Animals,1684169617076,0,6.72,2,M,75,old,0
5484655ffdf99b07b28f22cc,Immediate,395,22,gopher,1684169701503,,Animals,1684169617076,0,5.66,2,M,75,old,0
56802e5fc5767f00121cc6a0,Delayed,597,1,lion,1684598330034,1684598328875,Animals,1684598325824,0,4.21,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,2,tiger,1684598332586,1684598331234,Animals,1684598325824,0,2.552,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,3,bear,1684598334018,1684598332970,Animals,1684598325824,0,1.432,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,4,jaguar,1684598336602,1684598334410,Animals,1684598325824,0,2.584,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,5,zebra,1684598340010,1684598338114,Animals,1684598325824,0,3.408,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,6,horse,1684598342058,1684598340562,Animals,1684598325824,0,2.048,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,7,ferret,1684598344026,1684598342522,Animals,1684598325824,0,1.968,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,8,squirrel,1684598349425,1684598344314,Animals,1684598325824,0,5.399,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,9,fox,1684598352274,1684598349930,Animals,1684598325824,0,2.849,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,10,armadillo,1684598357722,1684598352785,Animals,1684598325824,0,5.448,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,11,raccoon,1684598362274,1684598358970,Animals,1684598325824,0,4.552,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,12,possum,1684598367282,1684598364026,Animals,1684598325824,0,5.008,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,13,horse,1684598376330,1684598372866,Animals,1684598325824,0,9.048,2,M,65,old,1
56802e5fc5767f00121cc6a0,Delayed,597,14,gorilla,1684598379258,1684598377378,Animals,1684598325824,0,2.928,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,15,monkey,1684598382466,1684598379650,Animals,1684598325824,0,3.208,2,M,65,old,0
56802e5fc5767f00121cc6a0,Delayed,597,16,baboon,1684598387874,1684598384338,Animals,1684598325824,0,5.408,2,M,65,old,0
